ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
1 , 3.531046, 1.817856, -0.014233,4.000000,0.000000,0.000000,1.965000,-0.132912, 1.817856
2 , 7.762381, 2.003986, -0.000388,3.000000,0.014533,0.000000,1.965000,0.024841, 2.003986
3 , 15.617228, 1.793065, -0.014946,4.000000,0.000388,0.000000,1.965000,-0.157377, 1.793065
4 , 19.820562, 2.052592, 0.000000,0.000000,0.014645,0.000000,1.965000,0.072946, 2.052592
5 , 3.611707, 1.931968, -0.013229,8.000000,0.000000,0.000000,1.965000,-0.019803, 1.931968
6 , 7.917934, 1.978550, -0.000419,7.000000,0.013484,0.000000,1.965000,0.000485, 1.978550
7 , 15.694966, 2.130645, -0.017533,8.000000,0.000419,0.000000,1.965000,0.182759, 2.130645
8 , 19.738642, 2.128756, 0.000000,0.000000,0.017278,0.000000,1.965000,0.146479, 2.128756
9 , 3.608624, 2.157733, -0.016860,12.000000,0.000000,0.000000,1.965000,0.209593, 2.157733
10 , 7.666454, 2.049337, -0.000302,11.000000,0.017286,0.000000,1.965000,0.067353, 2.049337
11 , 15.770148, 1.768626, -0.011348,12.000000,0.000302,0.000000,1.965000,-0.185329, 1.768626
12 , 20.248881, 2.214474, 0.000000,0.000000,0.010921,0.000000,1.965000,0.238553, 2.214474
1 , 3.333705, -1.761171, -0.014114,4.000000,0.000000,0.000000,-1.965000,0.217943, -1.761171
2 , 7.573117, -2.163161, -0.000391,3.000000,0.014429,0.000000,-1.965000,-0.212186, -2.163161
3 , 15.419538, -1.816575, -0.014847,4.000000,0.000391,0.000000,-1.965000,0.162881, -1.816575
4 , 19.629496, -2.017878, 0.000000,0.000000,0.014555,0.000000,-1.965000,-0.067423, -2.017878
5 , 3.415877, -1.873112, -0.013192,8.000000,0.000000,0.000000,-1.965000,0.105079, -1.873112
6 , 7.724808, -1.749228, -0.000420,7.000000,0.013440,0.000000,-1.965000,0.202744, -1.749228
7 , 15.500426, -1.846614, -0.017513,8.000000,0.000420,0.000000,-1.965000,0.135479, -1.846614
8 , 19.545232, -1.918471, 0.000000,0.000000,0.017260,0.000000,-1.965000,0.029272, -1.918471
9 , 3.412393, -1.891640, -0.016785,12.000000,0.000000,0.000000,-1.965000,0.090145, -1.891640
10 , 7.474463, -2.078511, -0.000303,11.000000,0.017208,0.000000,-1.965000,-0.130421, -2.078511
11 , 15.575662, -2.204664, -0.011310,12.000000,0.000303,0.000000,-1.965000,-0.228657, -2.204664
12 , 20.057718, -2.085241, 0.000000,0.000000,0.010890,0.000000,-1.965000,-0.131122, -2.085241
1 , 3.136198, -1.901818, -0.014059,4.000000,0.000000,0.000000,-1.965000,0.077242, -1.901818
2 , 7.379350, -2.000687, -0.000393,3.000000,0.014367,0.000000,-1.965000,-0.049656, -2.000687
3 , 15.219981, -2.060225, -0.014784,4.000000,0.000393,0.000000,-1.965000,-0.080834, -2.060225
4 , 19.434157, -1.934334, 0.000000,0.000000,0.014489,0.000000,-1.965000,0.016185, -1.934334
5 , 3.219196, -1.976829, -0.013196,8.000000,0.000000,0.000000,-1.965000,0.001368, -1.976829
6 , 7.527724, -2.045947, -0.000421,7.000000,0.013448,0.000000,-1.965000,-0.093980, -2.045947
7 , 15.301558, -2.010825, -0.017406,8.000000,0.000421,0.000000,-1.965000,-0.028840, -2.010825
8 , 19.352515, -1.939967, 0.000000,0.000000,0.017142,0.000000,-1.965000,0.007884, -1.939967
9 , 3.214160, -2.173616, -0.016722,12.000000,0.000000,0.000000,-1.965000,-0.191894, -2.173616
10 , 7.279783, -2.076060, -0.000304,11.000000,0.017143,0.000000,-1.965000,-0.127908, -2.076060
11 , 15.378084, -2.016942, -0.011289,12.000000,0.000304,0.000000,-1.965000,-0.040957, -2.016942
12 , 19.861984, -1.845277, 0.000000,0.000000,0.010857,0.000000,-1.965000,0.108863, -1.845277
1 , 3.008308, -0.099450, -0.015107,4.000000,0.000000,1.999968,-1.965000,-0.119312, -0.099450
2 , 7.182313, -1.840655, -0.000327,3.000000,0.015397,0.000000,-1.965000,0.109281, -1.840655
3 , 15.207740, -0.121320, -0.017716,4.000000,0.000327,1.999942,-1.965000,-0.138873, -0.121320
4 , 19.241003, -2.012694, 0.000000,0.000000,0.017432,0.000000,-1.965000,-0.065126, -2.012694
5 , 3.020878, -1.830844, -0.013133,8.000000,0.000000,0.000000,-1.965000,0.147289, -1.830844
6 , 7.334051, -2.016158, -0.000381,7.000000,0.013388,0.000000,-1.965000,-0.064168, -2.016158
7 , 15.206966, -0.080932, -0.019214,8.000000,0.000381,1.999894,-1.965000,-0.096994, -0.080932
8 , 19.159089, -2.110471, 0.000000,0.000000,0.018952,0.000000,-1.965000,-0.164427, -2.110471
9 , 3.015434, -1.934829, -0.016680,12.000000,0.000000,0.000000,-1.965000,0.046851, -1.934829
10 , 7.083461, -1.819290, -0.000296,11.000000,0.017094,0.000000,-1.965000,0.128894, -1.819290
11 , 15.209668, -0.096695, -0.011590,12.000000,0.000296,1.999977,-1.965000,-0.120377, -0.096695
12 , 19.667272, -1.720864, 0.000000,0.000000,0.011155,0.000000,-1.965000,0.232977, -1.720864
1 , 3.007357, 0.077778, -0.018435,4.000000,0.000000,1.999921,-1.965000,0.061292, 0.077778
2 , 6.988275, -2.127194, -0.000269,3.000000,0.018674,0.000000,-1.965000,-0.180594, -2.127194
3 , 15.208960, 0.153567, -0.021593,4.000000,0.000269,1.999986,-1.965000,0.139904, 0.153567
4 , 19.044367, -1.887527, 0.000000,0.000000,0.021374,0.000000,-1.965000,0.056114, -1.887527
5 , 3.008878, -0.204510, -0.015855,8.000000,0.000000,1.999986,-1.965000,-0.223642, -0.204510
6 , 7.139672, -1.999504, -0.000313,7.000000,0.016068,0.000000,-1.965000,-0.050261, -1.999504
7 , 15.208152, -0.020775, -0.023316,8.000000,0.000313,1.999937,-1.965000,-0.032709, -0.020775
8 , 18.966748, -2.194090, 0.000000,0.000000,0.023086,0.000000,-1.965000,-0.252191, -2.194090
9 , 3.008670, 0.144317, -0.020290,12.000000,0.000000,1.999980,-1.965000,0.129628, 0.144317
10 , 6.888784, -2.133383, -0.000244,11.000000,0.020638,0.000000,-1.965000,-0.188787, -2.133383
11 , 15.208385, -0.251854, -0.014041,12.000000,0.000244,1.999962,-1.965000,-0.273018, -0.251854
12 , 19.474132, -2.143347, 0.000000,0.000000,0.013680,0.000000,-1.965000,-0.192031, -2.143347
1 , 3.007778, 0.043003, -0.022554,4.000000,0.000000,1.999945,-1.965000,0.030612, 0.043003
2 , 6.791136, -2.093929, -0.000221,3.000000,0.022760,0.000000,-1.965000,-0.151454, -2.093929
3 , 15.208314, 0.217464, -0.026180,4.000000,0.000221,1.999968,-1.965000,0.208456, 0.217464
4 , 18.851055, -2.027417, 0.000000,0.000000,0.025998,0.000000,-1.965000,-0.088405, -2.027417
5 , 3.009348, 0.111953, -0.019358,8.000000,0.000000,1.999993,-1.965000,0.096318, 0.111953
6 , 6.944850, -2.168581, -0.000258,7.000000,0.019533,0.000000,-1.965000,-0.222859, -2.168581
7 , 15.207814, -0.230576, -0.028255,8.000000,0.000258,1.999915,-1.965000,-0.237494, -0.230576
8 , 18.774287, -1.985951, 0.000000,0.000000,0.028036,0.000000,-1.965000,-0.049028, -1.985951
9 , 3.008599, -0.093764, -0.024765,12.000000,0.000000,1.999974,-1.965000,-0.103973, -0.093764
10 , 6.695086, -1.864146, -0.000201,11.000000,0.025044,0.000000,-1.965000,0.075994, -1.864146
11 , 15.209140, 0.025988, -0.017084,12.000000,0.000201,1.999986,-1.965000,0.007885, 0.025988
12 , 19.278757, -1.818277, 0.000000,0.000000,0.016774,0.000000,-1.965000,0.129934, -1.818277
1 , 3.007791, -0.130327, -0.027450,4.000000,0.000000,1.999944,-1.965000,-0.137821, -0.130327
2 , 6.597421, -1.570162, -0.000182,3.000000,0.027644,0.000000,-1.965000,0.367412, -1.570162
3 , 15.209099, 0.059419, -0.031810,4.000000,0.000182,1.999988,-1.965000,0.056059, 0.059419
4 , 18.657089, -2.011327, 0.000000,0.000000,0.031651,0.000000,-1.965000,-0.077978, -2.011327
5 , 3.008536, -0.226951, -0.023537,8.000000,0.000000,1.999974,-1.965000,-0.238388, -0.226951
6 , 6.751503, -2.065758, -0.000213,7.000000,0.023691,0.000000,-1.965000,-0.124229, -2.065758
7 , 15.207222, -0.342765, -0.034290,8.000000,0.000213,1.999862,-1.965000,-0.343550, -0.342765
8 , 18.580115, -1.829540, 0.000000,0.000000,0.034073,0.000000,-1.965000,0.101316, -1.829540
9 , 3.007653, 0.370468, -0.030111,12.000000,0.000000,1.999926,-1.965000,0.365653, 0.370468
10 , 6.502492, -1.932113, -0.000166,11.000000,0.030337,0.000000,-1.965000,0.002699, -1.932113
11 , 15.207861, -0.055920, -0.020732,12.000000,0.000166,1.999931,-1.965000,-0.070286, -0.055920
12 , 19.083953, -2.176882, 0.000000,0.000000,0.020460,0.000000,-1.965000,-0.232371, -2.176882
1 , 3.007631, -0.201528, -0.033315,4.000000,0.000000,1.999922,-1.965000,-0.203134, -0.201528
2 , 6.405464, -2.293558, -0.000150,3.000000,0.033501,0.000000,-1.965000,-0.361854, -2.293558
3 , 15.207803, 0.326396, -0.038583,4.000000,0.000150,1.999936,-1.965000,0.329892, 0.326396
4 , 18.462752, -1.743991, 0.000000,0.000000,0.038485,0.000000,-1.965000,0.182557, -1.743991
5 , 3.008264, 0.110530, -0.028556,8.000000,0.000000,1.999966,-1.965000,0.104119, 0.110530
6 , 6.559835, -2.025271, -0.000176,7.000000,0.028716,0.000000,-1.965000,-0.088775, -2.025271
7 , 15.206655, -0.066664, -0.040704,8.000000,0.000176,1.999870,-1.965000,-0.061005, -0.066664
8 , 18.408085, 0.040606, 0.000000,0.000000,0.040550,1.999959,-1.965000,-0.034933, 0.040606
9 , 3.005666, 0.002110, -0.036627,12.000000,0.000000,1.999789,-1.965000,0.003948, 0.002110
