ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
1 , 3.622060, 1.915299, -0.014852,4.000000,0.000000,0.000000,1.965000,-0.034848, 1.915299
2 , 7.803467, 2.060828, -0.000386,3.000000,0.015277,0.000000,1.965000,0.080937, 2.060828
3 , 15.661899, 2.091575, -0.010088,4.000000,0.000386,0.000000,1.965000,0.136277, 2.091575
4 , 20.258312, 1.942145, 0.000000,0.000000,0.009663,0.000000,1.965000,-0.032519, 1.942145
5 , 3.597493, 2.116502, -0.019966,8.000000,0.000000,0.000000,1.965000,0.171468, 2.116502
6 , 7.489569, 1.841276, -0.000246,7.000000,0.020403,0.000000,1.965000,-0.143881, 1.841276
7 , 15.799370, 1.850582, -0.011533,8.000000,0.000246,0.000000,1.965000,-0.103131, 1.850582
8 , 20.261882, 1.754846, 0.000000,0.000000,0.011096,0.000000,1.965000,-0.221250, 1.754846
9 , 3.450317, 2.065621, -0.013486,12.000000,0.000000,0.000000,1.965000,0.114107, 2.065621
10 , 7.731870, 1.766653, -0.000325,11.000000,0.013821,0.000000,1.965000,-0.211843, 1.766653
11 , 15.763793, 1.901883, -0.016789,12.000000,0.000325,0.000000,1.965000,-0.046653, 1.901883
12 , 19.850844, 1.939864, 0.000000,0.000000,0.016453,0.000000,1.965000,-0.041589, 1.939864
1 , 3.421231, -2.023370, -0.014741,4.000000,0.000000,0.000000,-1.965000,-0.043629, -2.023370
2 , 7.609811, -1.758358, -0.000388,3.000000,0.015167,0.000000,-1.965000,0.191862, -1.758358
3 , 15.465032, -2.142148, -0.010074,4.000000,0.000388,0.000000,-1.965000,-0.167462, -2.142148
4 , 20.062873, -1.910252, 0.000000,0.000000,0.009646,0.000000,-1.965000,0.045101, -1.910252
5 , 3.401491, -1.866930, -0.019870,8.000000,0.000000,0.000000,-1.965000,0.117940, -1.866930
6 , 7.298153, -1.911248, -0.000247,7.000000,0.020318,0.000000,-1.965000,0.033690, -1.911248
7 , 15.602714, -2.039096, -0.011465,8.000000,0.000247,0.000000,-1.965000,-0.062878, -2.039096
8 , 20.071130, -2.076501, 0.000000,0.000000,0.011028,0.000000,-1.965000,-0.122527, -2.076501
9 , 3.252237, -1.979942, -0.013399,12.000000,0.000000,0.000000,-1.965000,-0.001542, -1.979942
10 , 7.539944, -1.987884, -0.000327,11.000000,0.013726,0.000000,-1.965000,-0.036294, -1.987884
11 , 15.566460, -2.015331, -0.016723,12.000000,0.000327,0.000000,-1.965000,-0.033935, -2.015331
12 , 19.657455, -1.796577, 0.000000,0.000000,0.016384,0.000000,-1.965000,0.152038, -1.796577
1 , 3.223447, -2.142789, -0.014689,4.000000,0.000000,0.000000,-1.965000,-0.163099, -2.142789
2 , 7.415354, -1.961963, -0.000388,3.000000,0.015125,0.000000,-1.965000,-0.011692, -1.961963
3 , 15.269402, -1.910761, -0.010075,4.000000,0.000388,0.000000,-1.965000,0.063926, -1.910761
4 , 19.867094, -2.010330, 0.000000,0.000000,0.009656,0.000000,-1.965000,-0.054977, -2.010330
5 , 3.202303, -2.112343, -0.019793,8.000000,0.000000,0.000000,-1.965000,-0.127549, -2.112343
6 , 7.102699, -1.887165, -0.000248,7.000000,0.020223,0.000000,-1.965000,0.057849, -1.887165
7 , 15.405350, -1.940226, -0.011455,8.000000,0.000248,0.000000,-1.965000,0.035981, -1.940226
8 , 19.874656, -1.728897, 0.000000,0.000000,0.011016,0.000000,-1.965000,0.225088, -1.728897
9 , 3.057779, -1.994119, -0.013392,12.000000,0.000000,0.000000,-1.965000,-0.015726, -1.994119
10 , 7.345989, -1.992226, -0.000328,11.000000,0.013734,0.000000,-1.965000,-0.040627, -1.992226
11 , 15.368515, -2.099420, -0.016670,12.000000,0.000328,0.000000,-1.965000,-0.118078, -2.099420
12 , 19.462654, -2.004089, 0.000000,0.000000,0.016340,0.000000,-1.965000,-0.055422, -2.004089
1 , 3.026323, -2.013853, -0.014662,4.000000,0.000000,0.000000,-1.965000,-0.034191, -2.013853
2 , 7.219997, -2.196761, -0.000339,3.000000,0.015092,0.000000,-1.965000,-0.246513, -2.196761
3 , 15.209428, -0.075688, -0.011534,4.000000,0.000339,1.999987,-1.965000,-0.099480, -0.075688
4 , 19.671859, -1.750188, 0.000000,0.000000,0.011106,0.000000,-1.965000,0.203707, -1.750188
5 , 3.007625, -0.070923, -0.019771,8.000000,0.000000,1.999928,-1.965000,-0.086080, -0.070923
6 , 6.909063, -2.088524, -0.000248,7.000000,0.020189,0.000000,-1.965000,-0.143489, -2.088524
7 , 15.210451, -2.179949, -0.011426,8.000000,0.000248,0.000000,-1.965000,-0.203771, -2.179949
8 , 19.682356, -1.992305, 0.000000,0.000000,0.010981,0.000000,-1.965000,-0.038289, -1.992305
9 , 3.008577, 0.053827, -0.015602,12.000000,0.000000,1.999976,-1.965000,0.034452, 0.053827
10 , 7.150416, -1.904283, -0.000316,11.000000,0.015907,0.000000,-1.965000,0.045139, -1.904283
11 , 15.209110, 0.073540, -0.017286,12.000000,0.000316,1.999990,-1.965000,0.055519, 0.073540
12 , 19.266988, -1.865828, 0.000000,0.000000,0.016999,0.000000,-1.965000,0.082178, -1.865828
1 , 3.008356, 0.167919, -0.017688,4.000000,0.000000,1.999947,-1.965000,0.150660, 0.167919
2 , 7.023132, -2.138101, -0.000279,3.000000,0.018047,0.000000,-1.965000,-0.190870, -2.138101
3 , 15.208504, 0.089909, -0.014021,4.000000,0.000279,1.999974,-1.965000,0.068678, 0.089909
4 , 19.475684, -1.823333, 0.000000,0.000000,0.013668,0.000000,-1.965000,0.128004, -1.823333
5 , 3.006433, -0.183017, -0.024170,8.000000,0.000000,1.999840,-1.965000,-0.193687, -0.183017
6 , 6.714099, -1.970484, -0.000205,7.000000,0.024511,0.000000,-1.965000,-0.029814, -1.970484
7 , 15.208908, 0.056949, -0.013838,8.000000,0.000205,1.999977,-1.965000,0.035606, 0.056949
8 , 19.489226, -1.973366, 0.000000,0.000000,0.013478,0.000000,-1.965000,-0.021839, -1.973366
